userName,conversation_id,interaction_id,step_id,user_input,system_output,classification,extra_info,timestamp
fsdf,conv_20250709_c292f1a5,1,1,hola,"{""classification"": ""No Relacionado"", ""confidence_score"": 0.9, ""inputs"": {}, ""missing_inputs"": [], ""follow_up_prompt"": ""¡Hola! ¿En qué puedo ayudarte hoy?""}",No Relacionado,Classifier Response,2025-07-09 12:17:21
fsdf,conv_20250709_c292f1a5,2,2,Cuantos tickets se han registrado en lo que va de esta semana habil',"{""classification"": ""Búsqueda de Query"", ""confidence_score"": 0.92, ""inputs"": {""user_question"": ""Cuantos tickets se han registrado en lo que va de esta semana habil""}, ""missing_inputs"": [], ""follow_up_prompt"": """"}",Búsqueda de Query,Classifier Response,2025-07-09 12:17:36
fsdf,conv_20250709_c292f1a5,2,2,Cuantos tickets se han registrado en lo que va de esta semana habil,Generating SQL Query,Búsqueda de Query,,2025-07-09 12:17:37
fsdf,conv_20250709_c292f1a5,3,3,cual es el ticket 9?,"{""classification"": ""Consulta de Tickets"", ""confidence_score"": 0.95, ""inputs"": {""ticket_number"": ""9"", ""user_question"": ""cual es el ticket 9?""}, ""missing_inputs"": [], ""follow_up_prompt"": """"}",Consulta de Tickets,Classifier Response,2025-07-09 12:18:20
fsdf,conv_20250709_c292f1a5,3,3,cual es el ticket 9?,"Aquí está toda la información del ticket 9:

    * IdTicket: 9 | Cliente: IC | Titulo: A10-Aplicacion de reestructuras | Descripcion: Aplicacion de reestructuras-Se platicó con Karla Reyes acerca de este requerimiento y me comentó que este desarrollo ya no lo tiene como pendiente. Se da por cerrado el 26/03/2018 | Objetivo: Aplicacion de reestructuras | FechaCreado: 11/01/2018 | HoraCreado: 5:41PM | DetectadoPor: Juan | Asignado A: Juan | Contacto: No especificado | Categoria: Req Desarrollo | Prioridad: Otros | Modulo: No especificado | Estatus: Cerrado | FechaEstatus: 11/01/2018 | HoraEstatus: 5:41PM | Unidades: 0 | Costo: 0.0 | Calificacion: 0 | FechaEntrega: No especificada | Resumen: No especificado | Etiquetas: No especificadas | UltimoComentario: // Email - Notificación de Conclusión - Encuesta | FechaUltimoComentario: 22/09/2021 | HoraUltimoComentario: 3:32PM | DiasDelTicket: 0 | DiasEnEstatus: 2736 | DiasParaCambiar: 0",Consulta de Tickets,Ticket Tool,2025-07-09 12:18:27
fsdf,conv_20250709_c292f1a5,7,4,cual es el titulo del ticket 25000?,"{""classification"": ""Consulta de Tickets"", ""confidence_score"": 0.95, ""inputs"": {""ticket_number"": ""25000"", ""user_question"": ""cual es el titulo del ticket 25000?""}, ""missing_inputs"": [], ""follow_up_prompt"": """"}",Consulta de Tickets,Classifier Response,2025-07-09 12:18:51
fsdf,conv_20250709_c292f1a5,7,4,cual es el titulo del ticket 25000?,El título del ticket 25000 es: Eliminar créditos de solicitudes duplicadas.,Consulta de Tickets,Ticket Tool,2025-07-09 12:18:54
fsdf,conv_20250709_c292f1a5,11,5,y su descripcion?,"{""classification"": ""Pregunta Continuada"", ""confidence_score"": 0.95, ""inputs"": {""context_active"": true, ""user_question"": ""y su descripcion?""}, ""missing_inputs"": [], ""follow_up_prompt"": """"}",Pregunta Continuada,Classifier Response,2025-07-09 12:19:02
fsdf,conv_20250709_c292f1a5,11,1,y su descripcion?,"La descripción del ticket 25000 es: 'Piden les apoyemos a eliminar créditos que fueron originados por solicitudes duplicadas: Id Solicitud	Id Credito
215697	151674
216125	152065
216291	152171
216527	152413
217232	152926
216926	152940
217704	153201
217847	153253
217580	153272
'.",Pregunta Respondida,Continuada,2025-07-09 12:19:05
fsdf,conv_20250709_c292f1a5,13,6,que opinas de la tabla a3 de la documentacion iso',"{""classification"": ""ISO"", ""confidence_score"": 0.95, ""inputs"": {""iso_question"": ""que opinas de la tabla a3 de la documentacion iso""}, ""missing_inputs"": [], ""follow_up_prompt"": """"}",ISO,Classifier Response,2025-07-09 12:19:21
